comment,label
minissunta marana baya dila mun ithuru awurdu 3 nam mehem thami krnne,Negative
Edat adat garukeranne awankawe janata seweyata eha giya manussekamak ekka seweya kerena adere kerene devikenek wage manusyek,
"Madam arenna Othana inna okkoma buruwo, mutti gagata atharapu keppa eladena ne amathi...madam oba karana mahagu sewayata ape pranamaya...",Positive
Reddak adalaaada kiyanneee,Negative
Ratata setha.,Positive
Kaluthara janathawage sabama nayakaya oba thumai.obathuma gana kaluthara janathawa Dannawa.,Positive
Budu saranay,Positive
Ratata aadare minissu,Positive
Pirisidu hadawatak ati minisek,Positive
samupakara chandayak wath dinanna ba,Negative
Niyama kalu sinhalaya. Adambarai sahodaya. Thawath chirath kalayak API wenuwen ape ayushath aran jiwath wenna.,Positive
Budu saranai meya aadarsayata gena siyaluma district wala meavani wada satahan kriyath maka karanna Amathi thumani obage siyalu katauthu sartaka wewa,Positive
Rate pinata obalaata wasara 5 balaya labewaa,Positive
Darrya sakthiya labeawa !good luck !,Positive
Uthum minisunnta Pamanai Uthum deval karanna sitha yomuvanne,Positive
Dukai ane me para nathi nisa,
OBATHUMATA JAYA WEWA,Positive
Madamta dirgau labewa teruwan saranai,Positive
Kawada hari me rata bara denna watina minihek..,Positive
Sawbagayamat ratak venuven deriyen kepavemu semada .teruvan saranay mawbimatama Garu agametieyduniy...,Positive
Hadawathe minissu,Positive
Thamusegeth awasane thamai me para.nikam eershiyawen kelawagaththa .,Negative
Me yakatath janadipathi pissuwa gahala,Negative
Modaya,Negative
Rate awsanwat parlimenthuwat oba depal ahimi una attha ktha krana ayta den idak nha palitha tewarpperum kiynne mnuss kmin hebi chrithyk api widesh ratak idiyth api dekk coron wediynm thibba dawswal minisunt thmnge wiydemin kema bim denwa ahem aya ada ape duk ahnn balnn thna nthi una godak dukai dwsak oba thumnla aniwaryenm dinanawa hdwathe mnusskm thiyen kana kwadwatg parada wennha,Positive
Mokada muu Chanda ganna bea,Negative
Me anduwa gana thiyenne maha kalakeerimak.,Negative
Budu saranai obathuma hoda pudgalayek,
Muwa dakiddii Ara bomba gahala marunu ahinsakayangee munu mathak wenawaa kaaala kanniyaa,Negative
Oya wiswasaya sada rakinna duppath janathawata hal Mila pahala dala pohora prasneth wisaduwoth ape manapa Wala watinakama apata danei.hora magadi kalu kada karain thamai mewata mula,Positive
Lankawa chinata wikunanna epa. Plz sarpayek wath ithuru wena ekak na. Aluthenma taruna nayakyek misak me inna 225 ekekta chande denna epa. Moka awath rata wikunan kana eka withari karanne. Ratata sethak na.,Negative
Api pain yannam oya prado genna sir vaccine eka genna epa e salli walin.,Negative
Muta pissu,Negative
Aththa minisunta danaganimata mewan danuwath kirim etha wadagath,Positive
Nidahas karana oni hebei politics walin ain wena acting walin social work pettata neburu wena politics wedak ne mewa hadana be,Positive
Chiran jayathu...!!! Budu saranai,Positive
Loku deyak giyapu 1,Negative
Oba parlimenthuwa thula siti awanka pudgalayek...Oba sitiya uthu nayakayek..obata jayen jayama labewa..,Positive
Thawa thawath shakithiya labewa,Positive
"Rata vikunan kawa nam paduwe hitahan gon post noda,meka ta chande dunne ewun ta henama gahapan,hadi gawila yanna .",Negative
noparadina ediri dakmak ati nayakya,Positive
Api innawa bayawenna apa,Positive
A anduwaui me anduwaui dekama karanne ekamane serama Pandu thamai,Negative
Chinnu ewilla ape Rate aitiwasikam kiyanakota hema ekagema eas errei eatakota parakku wedi . Wikunapu eawun Amaricawatata penala yai .,Negative
Mun kade yana tharamk..,Negative
Ape nayaka thumata budu saranai,Positive
Teruwan saranai. devi raka waranai,Positive
Mamath kemathima dennek ammapa,
Dr jayaruwan bandara Ain kale ai hoda doctor kenek rajya niladarinta melesa athathiyanne ai pohottuwata chande dunne mewani mardana karanna name rajjya jiladarin desapalana athakolu wunoth wadikal yamak naha,Negative
Ratata watina minisek jaya wewa,Positive
Oya parliament eke inna ona kenek . Hemadama mn eka kiwwa,Positive
Theruwan Saranayi !!! Chiran Jayathu !!!,Positive
